,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Deutschland,Deutschland,LOC,-0.09302326,0.15205725,de,55.90000000,,2921044.00000000,A,51.50000000,10.50000000,EUROPE,Deutschland,WCE
Europa,Europa,LOC,0.18513120,0.15306122,de,34.30000000,,6255148.00000000,L,48.69096000,9.14062000,EUROPE,,WCE
Privacy Center,Privacy Center,LOC,0.00000000,0.00000000,de,24.40000000,,0.00000000,,,,,,
Berlin,Berlin,LOC,-0.08766234,0.22727273,de,15.40000000,,2950159.00000000,P,52.52437000,13.41053000,EUROPE,Deutschland,WCE
Hamburg,Hamburg,LOC,-0.02413793,0.19540230,de,14.50000000,,2911298.00000000,P,53.55073000,9.99302000,EUROPE,Deutschland,WCE
Deutschlands,Deutschlands,LOC,0.07586207,0.00000000,de,14.50000000,,0.00000000,,,,,,
Bayern,Bayern,LOC,-0.05147059,0.18382353,de,13.60000000,,2951839.00000000,A,49.00000000,11.50000000,EUROPE,Deutschland,WCE
Energiewende,Energiewende,LOC,0.44067797,0.00000000,de,11.80000000,,0.00000000,,,,,,
Österreich,Österreich,LOC,0.24922118,0.26479751,de,10.70000000,,2782113.00000000,A,47.33333000,13.33333000,EUROPE,Österreich,WCE
Europas,Europas,LOC,0.07000000,0.10000000,de,10.00000000,,0.00000000,,,,,,
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.09500000,0.25000000,de,10.00000000,,2874545.00000000,P,52.12773000,11.62916000,EUROPE,Deutschland,WCE
Frankreich,Frankreich,LOC,-0.02000000,0.05000000,de,10.00000000,,3017382.00000000,A,46.00000000,2.00000000,EUROPE,Frankreich,WCE
Frankfurt,Frankfurt,LOC,-0.20731707,0.00000000,de,8.20000000,,2925533.00000000,P,50.11552000,8.68417000,EUROPE,Deutschland,WCE
China,China,LOC,0.00000000,0.00000000,de,8.20000000,,1814991.00000000,A,35.00000000,105.00000000,ASIA,China,EAS
Hitzewelle,Hitzewelle,LOC,-0.14843750,0.35156250,de,6.40000000,,0.00000000,,,,,,
