,phrase,label,sentiment,subjectivity,language,count
DWD,DWD,ORG,-0.022716049382716062,0.09629629629629638,de,67.49999999999994
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.056209150326797415,0.1470588235294119,de,50.99999999999995
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.2880952380952382,0.04761904761904763,de,20.999999999999996
Cookies,Cookies,ORG,0.8159509202453983,0.0,de,16.300000000000004
EU,EU,ORG,0.23619631901840485,0.3374233128834355,de,16.300000000000004
CDU,CDU,ORG,0.5819209039548022,0.15536723163841804,de,11.800000000000002
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,0.08433734939759036,0.12048192771084336,de,8.3
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,7.300000000000001
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,0.04109589041095892,0.2054794520547945,de,7.300000000000001
ADAC,ADAC,ORG,-0.5342465753424658,0.273972602739726,de,7.300000000000001
VW,VW,ORG,0.28767123287671226,0.0,de,7.300000000000001
GEO,GEO,ORG,2.5,0.0,de,6.4
Grüne,Grüne,ORG,0.18181818181818182,0.18181818181818182,de,5.5
D…,D…,ORG,0.0,0.0,de,4.6
AfD,AfD,ORG,0.0,0.0,de,4.6
TTS-Player,TTS-Player,ORG,0.2173913043478261,0.0,de,4.6
CSU,CSU,ORG,0.358974358974359,0.0,de,3.9
WMO,WMO,ORG,0.0,0.0,de,3.8
Rekorde,Rekorde,ORG,-0.1891891891891892,0.0,de,3.6999999999999997
Volkswagen,Volkswagen,ORG,-0.2702702702702703,0.0,de,3.6999999999999997
SPD,SPD,ORG,0.7297297297297296,0.09009009009009009,de,3.6999999999999997
Deutschland,Deutschland,ORG,-0.3783783783783784,0.0,de,3.6999999999999997
Neptun-Werft,Neptun-Werft,ORG,-0.1891891891891892,0.0,de,3.6999999999999997
BASIC thinking,BASIC thinking,ORG,0.0,0.2702702702702703,de,3.6999999999999997
FC Bayern,FC Bayern,ORG,0.44594594594594594,0.40540540540540543,de,3.6999999999999997
TÜV,TÜV,ORG,0.0,0.09009009009009009,de,3.6999999999999997
Gewerkschaften,Gewerkschaften,ORG,0.0,0.5405405405405406,de,3.6999999999999997
lby,lby,ORG,-0.07471264367816093,0.4252873563218391,de,2.9
ei…,ei…,ORG,0.6071428571428572,0.0,de,2.8
MV,MV,ORG,0.35714285714285715,0.7142857142857143,de,2.8
EWE,EWE,ORG,0.0,0.0,de,2.8
KOMMENTAR,KOMMENTAR,ORG,-0.25,0.35714285714285715,de,2.8
lrs,lrs,ORG,1.3214285714285716,0.0,de,2.8
SANY,SANY,ORG,0.0,0.0,de,2.8
Nachtfrost,Nachtfrost,ORG,0.125,0.0,de,2.8
OECD,OECD,ORG,-0.3035714285714286,0.0,de,2.8
AFC Sunderland,AFC Sunderland,ORG,0.5,0.0,de,2.8
Shutterstock.com,Shutterstock.com,ORG,-0.7142857142857143,0.0,de,2.8
