,summary,Energiewende,Verkehrswende,Geo_Engineering,Oekologie,Tipping_Points,Klimawandel,Landwirtschaft,Gesundheit,Wasserversorgung,Waermewende,Industrie,Klimaextreme,Urbane_Hitzeinsel,word
summaryOfAllWords,113341.00415757319,59138.307320001215,0.0,0.0,6112.776754494925,4772.551324782123,9499.07510000823,6188.588552858631,6170.64133711964,6117.402819230708,2773.0927236225943,6425.378211489002,6143.190013843267,0.0,
Tiere,17.576466500329953,-0.857344107782703,0.0,0.0,0.5196146976527752,0.47722115456887343,0.5979947392420618,0.5074960832487441,0.5103553682859654,0.5188713963556442,-1.4434621957180471,0.5587822636805738,0.5147464458011974,0.0,Tiere
Krebspest,20.038763263368,-1.482927119594405,0.0,0.0,0.6540123208443903,0.6021978317497791,0.7485839137382647,0.6418197716247528,0.6446950966646097,0.653264311324845,-1.5745698800014334,0.6046366315042772,0.6491102644476633,0.0,Krebspest
tier+e krebs+pest,11.583247534068457,-1.3504342773104496,0.0,0.0,0.6354994691686395,0.6040945835606303,0.6944571313141408,0.6235172627178398,0.6263469600317715,0.6347648564278404,-1.0264611952783882,0.5869094097945118,0.6306935942089369,0.0,tier+e krebs+pest
Klimawandel,988.6191055859223,-1.6097915151676359,0.0,0.0,0.6549891479906812,0.5179227047472489,0.8794150686760436,0.6426635284625674,0.6455677287284778,0.6542326665292924,-5.4732104456812225,0.6051158690746954,0.6500262576860802,0.0,Klimawandel
krebs+pest klima+wandel,26.275778955878796,-1.5220779813777168,0.0,0.0,0.6581963839012342,0.5969676057475961,0.7685422876582864,0.6459552874121033,0.6488411459110468,0.6574452832886296,-1.8455488816926036,0.6086392174269679,0.6532721324752855,0.0,krebs+pest klima+wandel
Steinkrebs,19.348548317342345,-1.4767966099641137,0.0,0.0,0.6532886667866104,0.602725961352517,0.7457326181550401,0.6411042478409092,0.6439778089255965,0.6525411749703951,-1.5395187133958144,0.6039433638252716,0.6483903275615467,0.0,Steinkrebs
klima+wandel stein+krebs,14.190166749211345,-1.4094619093730258,0.0,0.0,0.6444257767004958,0.6052582781815173,0.7171648430907795,0.6323405133802914,0.6351925636894323,0.6436845994769754,-1.2294505613745017,0.5954509314301866,0.6395727747134305,0.0,klima+wandel stein+krebs
braucht,31.072622788611124,0.07426528950362722,0.0,0.0,-0.044876816395831,-0.08746025599947148,0.033833718576967174,-0.056997248228517844,-0.05413756893046395,-0.04562023343742869,-2.0132284544047367,-0.0939830283980039,-0.0497458992525272,0.0,braucht
stein+krebs brauch+t,12.385749946903807,-1.3713732528173743,0.0,0.0,0.6387791096336015,0.604786470170078,0.7023640125068554,0.6267584926754518,0.6295965207321077,0.6380420500637964,-1.093447933040402,0.5900456649512751,0.6339556691729474,0.0,stein+krebs brauch+t
